Unique DIMETRA XML Device Type,Prod Cat - T1,Prod Cat - T2,Prod Cat - T3,Prod Cat - T4
LSMP Eventmgmt,Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP)
LSMP Monitoring Agent,Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP)
LSMP ITSM,Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP)
LSMP Linux,Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP)
LSMP ICMP Ping,Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP),Local Service Management Platform (LSMP)
ActiveDirectoryCertificatesServer,DIMETRA,DIMETRA X Core,Consoles,DCS (Dispatch Communication Server)
ADCS,DIMETRA,DIMETRA X Core,Consoles,DCS (Dispatch Communication Server)
AGTW,DIMETRA,DIMETRA X Core,Consoles,DCS (Dispatch Communication Server)
AIS,DIMETRA,DIMETRA X Core,Consoles,AIS (Archiving Interface Server)
AISA,DIMETRA,DIMETRA X Core,Consoles,AIS (Archiving Interface Server)
AliasServer,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,Alias Server RUA/RUI
Aruba,DIMETRA,DIMETRA X Core,Network Transport,LAN Switch - HPE A2930F-48
ATR,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ATR (Air Traffic Router)
AUC,DIMETRA,DIMETRA X Core,Secure Subsystem,AuC (Authentication Centre)
Ccgw_Site,DIMETRA,DIMETRA X Core,Network Transport,CCGW Router
CHS,DIMETRA,DIMETRA X Core,Network Management & Call Processing,CHS (Cluster Hot Standby) Tools
Cisco,DIMETRA,DIMETRA X Core,Network Transport,
DConnectController,DIMETRA,DIMETRA X Core,Connect Gateway,
DConnectControllerStatus,DIMETRA,DIMETRA X Core,Connect Gateway,
DConnectGateway,DIMETRA,DIMETRA X Core,Connect Gateway,
DConnectGWInterface,DIMETRA,DIMETRA X Core,Connect Gateway,
DCS,DIMETRA,DIMETRA X Core,Consoles,DCS (Dispatch Communication Server)
Dispatch,DIMETRA,DIMETRA X Core,Consoles,
DomainController,DIMETRA,DIMETRA X Core,Network Management & Call Processing,DC (Domain Controller)
EBTS,DIMETRA,DIMETRA X Core,RF Subsystem,EBTS
EBTSBaseRadio,DIMETRA,DIMETRA X Core,RF Subsystem,EBTS
EBTSStatus,DIMETRA,DIMETRA X Core,RF Subsystem,EBTS
EsetAV,DIMETRA,DIMETRA X Core,Security Update Service,ESET Antivirus (RHEL)
ESP,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,
ESXi,DIMETRA,DIMETRA X Core,Network Management & Call Processing,
FortiGate,DIMETRA,DIMETRA X Core,Network Transport,
FvServer,DIMETRA,DIMETRA X Core,Network Management & Call Processing,UEM (Unified Event Manager Server)
GAS,DIMETRA,DIMETRA X Core,Network Management & Call Processing,GAS (General Administration Server)
GGM8000,DIMETRA,DIMETRA X Core,Network Transport,GGM8000
HP_iLO4,DIMETRA,DIMETRA X Core,Network Management & Call Processing,
HP_iLO5,DIMETRA,DIMETRA X Core,Network Management & Call Processing,
HPGX,DIMETRA,DIMETRA X Core,Network Transport,
HPiLO,DIMETRA,DIMETRA X Core,Network Management & Call Processing,
HPSwitch,DIMETRA,DIMETRA X Core,Network Transport,
InfoVista,DIMETRA,DIMETRA X Core,Network Management & Call Processing,InfoVista
InterWorkingFunction,DIMETRA,DIMETRA X Core,Platform Subsystem,X-Core Deployable (XCD) Server
IvdPacketDataRouter,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,PDR (Packet Data Router)
IvdRadioNetworkGateway,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,RNG (Radio Network Gateway)
JuniperSRX1500,DIMETRA,DIMETRA X Core,Network Transport,
JuniperSRX345,DIMETRA,DIMETRA X Core,Network Transport,
LicenseManager,DIMETRA,DIMETRA X Core,Network Management & Call Processing,LM (License Manager)
Manager Generated Events,DIMETRA,DIMETRA X Core,Network Management & Call Processing,UEM (Unified Event Manager Server)
MCADI,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,MCADI (Multi-CADI) Server
MCG8000,DIMETRA,DIMETRA X Core,Network Transport,MCG8000 
MD110,DIMETRA,DIMETRA X Core,Network Transport,
MGEG,DIMETRA,DIMETRA X Core,Network Management & Call Processing,
MISIAudioConverter,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ISI (Inter-System Interconnect) Server
MISICommunicationController,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ISI (Inter-System Interconnect) Server
MISIIP2E1Converter,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ISI (Inter-System Interconnect) Server
MNR,DIMETRA,DIMETRA X Core,Network Transport,
MnrS2500,DIMETRA,DIMETRA X Core,Network Transport,
MnrS5000,DIMETRA,DIMETRA X Core,Network Transport,
MnrS6000,DIMETRA,DIMETRA X Core,Network Transport,
MotCcgw,DIMETRA,DIMETRA X Core,Network Transport,CCGW Router
MotGas,DIMETRA,DIMETRA X Core,Network Management & Call Processing,GAS (General Administration Server)
motolocator,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,
MTIG,DIMETRA,DIMETRA X Core,Telephony ,
MTS,DIMETRA,DIMETRA X Core,RF Subsystem,
MTSBaseRadio,DIMETRA,DIMETRA X Core,RF Subsystem,
MTSStatus,DIMETRA,DIMETRA X Core,RF Subsystem,
MxOne,DIMETRA,DIMETRA X Core,Telephony ,Third Party PABX / Telephony System
NetScreen,DIMETRA,DIMETRA X Core,Consoles,UEM (Unified Event Manager Server)
NetSnmp,DIMETRA,DIMETRA X Core,Network Management & Call Processing,UEM (Unified Event Manager Server)
NiceLogger,DIMETRA,DIMETRA X Core,Consoles,NICE Voice Logger
NiceLoggerNRX,DIMETRA,DIMETRA X Core,Consoles,NICE Voice Logger
NiceLoggerNRXv2,DIMETRA,DIMETRA X Core,Consoles,NICE Voice Logger
NortelFW,DIMETRA,DIMETRA X Core,Network Transport,
NortelPassport,DIMETRA,DIMETRA X Core,Network Transport,
NTS,DIMETRA,DIMETRA X Core,Network Transport,Network Time Server
PKI,DIMETRA,DIMETRA X Core,Connect Gateway,PKI Client
RAD2100,DIMETRA,DIMETRA X Core,Network Transport,
RADIPMux24,DIMETRA,DIMETRA X Core,Network Transport,
Redfish,DIMETRA,DIMETRA X Core,Network Management & Call Processing,UEM (Unified Event Manager Server)
RedfishNode,DIMETRA,DIMETRA X Core,Network Management & Call Processing,UEM (Unified Event Manager Server)
S-DCS,DIMETRA,DIMETRA X Core,Consoles,DCS (Dispatch Communication Server)
SDR,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,SDR (Short Data Router)
SdrBilling,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,SDR (Short Data Router)
SdrCapacityUtilization,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,SDR (Short Data Router)
SdrMsToGroup,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,SDR (Short Data Router)
SdrRui/Rua,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,SDR (Short Data Router)
SdrS&F,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,SDR (Short Data Router)
SLC8000,DIMETRA,DIMETRA X Core,Network Transport,Terminal Server
SRSNode,DIMETRA,DIMETRA X Core,Data Subsystem & CEN,
SRX,DIMETRA,DIMETRA X Core,Network Transport,
Standard,DIMETRA,DIMETRA X Core,Network Management & Call Processing,UEM (Unified Event Manager Server)
StatServer,DIMETRA,DIMETRA X Core,Network Management & Call Processing,
TelsisETG,DIMETRA,DIMETRA X Core,Network Management & Call Processing,
TerminalServer,DIMETRA,DIMETRA X Core,Network Transport,Terminal Server
UEMSRVR,DIMETRA,DIMETRA X Core,Network Management & Call Processing,UEM (Unified Event Manager Server)
UNS,DIMETRA,DIMETRA X Core,Network Management & Call Processing,
USSRVR,DIMETRA,DIMETRA X Core,Network Management & Call Processing,UCS (User Configuration Server)
Windows,DIMETRA,DIMETRA X Core,Platform Subsystem,
ZC,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ZC (Zone Controller)
ZCambassadorElectronicsBank,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ZC (Zone Controller)
ZCanalogConventionalSubsystemSite,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ZC (Zone Controller)
ZCcallProcessingSubsystem,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ZC (Zone Controller)
ZCcallProcessingSubsystemSite,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ZC (Zone Controller)
ZCinterconnectSubsystem,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ZC (Zone Controller)
ZCzone,DIMETRA,DIMETRA X Core,Network Management & Call Processing,ZC (Zone Controller)
AIS WRG,ASTRO Infrastructure,Consoles,IP Logging,AIS
Authentication Center,ASTRO Infrastructure,Secure Subsystem,Authentication Center - AuC,
AXS Dispatch Console,ASTRO Infrastructure,Consoles,AXS,AXS
Backup and Restore,ASTRO Infrastructure,Network Management & Call Processing,Backup and Restore,
CAD Radio Services,ASTRO Infrastructure,Network Management & Call Processing,Air Traffic Router - ATR,CADi
Conventional Channel Gateway,ASTRO Infrastructure,RF Subsystem,CCGW,
Core Security Management Server,ASTRO Infrastructure,Secure Subsystem,Core Security Management Server,
Direct Attached Storage,ASTRO Infrastructure,Platform Subsystem,DAS,
Domain Controller,ASTRO Infrastructure,Network Management & Call Processing,Domain Controller,Domain Controller - VM
DSC - Conventional SC,ASTRO Infrastructure,RF Subsystem,DSC 8000,DSC 8000
DSC - Prime Site,ASTRO Infrastructure,RF Subsystem,DSC 8000,DSC 8000
DSC - Remote Site,ASTRO Infrastructure,RF Subsystem,DSC 8000,DSC 8000
DSC - RF Site,ASTRO Infrastructure,RF Subsystem,DSC 8000,DSC 8000
DSC8000 - Conventional SC,ASTRO Infrastructure,RF Subsystem,DSC 8000,DSC 8000
DSC8000 - Prime Site,ASTRO Infrastructure,RF Subsystem,DSC 8000,DSC 8000
DSC8000 - Remote Site,ASTRO Infrastructure,RF Subsystem,DSC 8000,DSC 8000
DSC8000 - RF Site,ASTRO Infrastructure,RF Subsystem,DSC 8000,DSC 8000
ESXi,ASTRO Infrastructure,Platform Subsystem,Vmware/ESXi,Vmware/ESXi
Extreme Summit X460-G2-24t-10GE4,ASTRO Infrastructure,Network Transport,Switch,
Extreme Summit X460-G2-24t-GE4,ASTRO Infrastructure,Network Transport,Switch,
Extreme Summit X460-G2-48t-10GE4,ASTRO Infrastructure,Network Transport,Switch,
Extreme Summit X670-G2-48x-4q,ASTRO Infrastructure,Network Transport,Switch,
